case_id,case_role,feature,feature_group,path_importance,rank,explained_label
L,target_prediction,fd_energy_ratio_500_1500,spectrum,0.0141235372463983,18,OR
L,target_prediction,env_kurtosis,envelope,0.01310965457067615,19,OR
L,target_prediction,env_energy_ratio_0_50,envelope,0.00826981621385536,20,OR
L,target_prediction,fd_energy_ratio_3000_6000,spectrum,0.008235606834957854,21,OR
L,target_prediction,fd_entropy_0_6k,spectrum,0.0031757975677127984,22,OR
L,target_prediction,td_impulse_factor,impact,0.003062609495562792,23,OR
L,target_prediction,env_centroid_hz_0_500,envelope,0.0030398519992930573,24,OR
L,target_prediction,env_energy_ratio_300_500,envelope,0.0025696208368849918,25,OR
L,target_prediction,td_skewness,time_shape,0.0025479086099948344,26,OR
L,target_prediction,td_clearance_factor,impact,0.0014227386776446045,27,OR
L,target_prediction,td_crest_factor,impact,0.0007306230714469007,28,OR
M,target_prediction,env_rms,envelope,0.12750869522257444,1,OR
M,target_prediction,td_peak_abs,impact,0.1089866498995976,2,OR
M,target_prediction,td_ptp,impact,0.10483367395644609,3,OR
M,target_prediction,td_std,time_energy,0.093157378384468,4,OR
M,target_prediction,env_entropy_0_500,envelope,0.08176366934001182,5,OR
M,target_prediction,td_rms,time_energy,0.07395315368472502,6,OR
M,target_prediction,fd_energy_ratio_1500_3000,spectrum,0.06934061945156729,7,OR
M,target_prediction,fd_f95_hz_0_6k,spectrum,0.05517070502607734,8,OR
M,target_prediction,fd_dominant_hz_0_6k,spectrum,0.03511049125242878,9,OR
M,target_prediction,td_zero_cross_rate,time_shape,0.034221632897685074,10,OR
M,target_prediction,env_energy_ratio_50_150,envelope,0.02592873824576339,11,OR
M,target_prediction,td_shape_factor,time_shape,0.02554935780963044,12,OR
M,target_prediction,env_dominant_hz_0_500,envelope,0.02554918786009841,13,OR
M,target_prediction,td_kurtosis,impact,0.023637962347316934,14,OR
M,target_prediction,fd_energy_ratio_0_500,spectrum,0.01938663890465488,15,OR
M,target_prediction,env_energy_ratio_150_300,envelope,0.01914588895731861,16,OR
M,target_prediction,fd_centroid_hz_0_6k,spectrum,0.01894364481488674,17,OR
M,target_prediction,env_kurtosis,envelope,0.013591673027747003,18,OR
M,target_prediction,fd_energy_ratio_500_1500,spectrum,0.013498151839647934,19,OR
M,target_prediction,fd_energy_ratio_3000_6000,spectrum,0.00840212822541636,20,OR
M,target_prediction,env_energy_ratio_0_50,envelope,0.006722423597291966,21,OR
M,target_prediction,td_impulse_factor,impact,0.004685516323251111,22,OR
M,target_prediction,fd_entropy_0_6k,spectrum,0.0032208167367911906,23,OR
M,target_prediction,env_centroid_hz_0_500,envelope,0.003218776829695872,24,OR
M,target_prediction,td_clearance_factor,impact,0.002132047218984404,25,OR
M,target_prediction,env_energy_ratio_300_500,envelope,0.001870350751702197,26,OR
M,target_prediction,td_crest_factor,impact,0.000261086200982299,27,OR
M,target_prediction,td_skewness,time_shape,0.00020894119323894614,28,OR
N,target_prediction,env_rms,envelope,0.12371732010006439,1,OR
N,target_prediction,td_peak_abs,impact,0.10276160179141287,2,OR
N,target_prediction,td_ptp,impact,0.1011062511607096,3,OR
N,target_prediction,td_std,time_energy,0.09868078645007874,4,OR
N,target_prediction,env_entropy_0_500,envelope,0.08510505690901736,5,OR
N,target_prediction,td_rms,time_energy,0.07486129517393789,6,OR
N,target_prediction,fd_energy_ratio_1500_3000,spectrum,0.06900246545405621,7,OR
N,target_prediction,fd_f95_hz_0_6k,spectrum,0.058732205245114,8,OR
N,target_prediction,td_zero_cross_rate,time_shape,0.033956825455847855,9,OR
N,target_prediction,fd_dominant_hz_0_6k,spectrum,0.032512099346699595,10,OR
N,target_prediction,env_energy_ratio_50_150,envelope,0.032310456578236446,11,OR
N,target_prediction,td_shape_factor,time_shape,0.025189489807514138,12,OR
N,target_prediction,td_kurtosis,impact,0.024827839208206654,13,OR
N,target_prediction,env_dominant_hz_0_500,envelope,0.022746631493134283,14,OR
N,target_prediction,fd_centroid_hz_0_6k,spectrum,0.019395065714575995,15,OR
N,target_prediction,fd_energy_ratio_0_500,spectrum,0.019358239811222918,16,OR
N,target_prediction,env_energy_ratio_150_300,envelope,0.017192969066991647,17,OR
N,target_prediction,env_kurtosis,envelope,0.013798072165554707,18,OR
N,target_prediction,fd_energy_ratio_500_1500,spectrum,0.013257146314765824,19,OR
N,target_prediction,fd_energy_ratio_3000_6000,spectrum,0.007325516731403033,20,OR
N,target_prediction,env_energy_ratio_0_50,envelope,0.007261171633925299,21,OR
N,target_prediction,td_impulse_factor,impact,0.0037348723457320114,22,OR
N,target_prediction,fd_entropy_0_6k,spectrum,0.002851479903492257,23,OR
N,target_prediction,td_skewness,time_shape,0.0027925157944137568,24,OR
N,target_prediction,env_centroid_hz_0_500,envelope,0.002617978089259359,25,OR
N,target_prediction,env_energy_ratio_300_500,envelope,0.002508588013949406,26,OR
N,target_prediction,td_clearance_factor,impact,0.0019098249689617828,27,OR
N,target_prediction,td_crest_factor,impact,0.000486235271722149,28,OR
O,target_prediction,env_rms,envelope,0.12579966866836909,1,OR
O,target_prediction,td_peak_abs,impact,0.10378046857882434,2,OR
O,target_prediction,td_ptp,impact,0.10169636343879997,3,OR
O,target_prediction,td_std,time_energy,0.10012216209614608,4,OR
O,target_prediction,env_entropy_0_500,envelope,0.08670060015580056,5,OR
O,target_prediction,td_rms,time_energy,0.07678332747307703,6,OR
O,target_prediction,fd_energy_ratio_1500_3000,spectrum,0.0717501954492637,7,OR
O,target_prediction,fd_f95_hz_0_6k,spectrum,0.06021651031765895,8,OR
O,target_prediction,td_zero_cross_rate,time_shape,0.036232375616367024,9,OR
O,target_prediction,env_energy_ratio_50_150,envelope,0.02894483860518072,10,OR
O,target_prediction,td_kurtosis,impact,0.02553276489391553,11,OR
O,target_prediction,td_shape_factor,time_shape,0.025120410009553756,12,OR
O,target_prediction,fd_dominant_hz_0_6k,spectrum,0.024054522676317695,13,OR
O,target_prediction,env_dominant_hz_0_500,envelope,0.021919776074990075,14,OR
O,target_prediction,fd_energy_ratio_0_500,spectrum,0.020236393505753777,15,OR
O,target_prediction,fd_centroid_hz_0_6k,spectrum,0.01794767385086422,16,OR
O,target_prediction,fd_energy_ratio_500_1500,spectrum,0.014053445731064634,17,OR
O,target_prediction,env_energy_ratio_150_300,envelope,0.013635562720411163,18,OR
