case_id,window_id,window_start_s,domain,explained_label,feature,window_score,score_drop_when_occluded
SRC_OR_REP,WIN-b9eea8e72338bc41f2b0,3.0,source,OR,mean,0.9933333333333333,0.0
SRC_OR_REP,WIN-b9eea8e72338bc41f2b0,3.0,source,OR,std,0.9933333333333333,0.12
SRC_OR_REP,WIN-b9eea8e72338bc41f2b0,3.0,source,OR,rms,0.9933333333333333,0.09666666666666668
SRC_OR_REP,WIN-b9eea8e72338bc41f2b0,3.0,source,OR,mean_abs,0.9933333333333333,0.026666666666666616
SRC_OR_REP,WIN-b9eea8e72338bc41f2b0,3.0,source,OR,peak_abs,0.9933333333333333,0.016666666666666607
SRC_OR_REP,WIN-b9eea8e72338bc41f2b0,3.0,source,OR,peak_to_peak,0.9933333333333333,0.033333333333333326
SRC_OR_REP,WIN-b9eea8e72338bc41f2b0,3.0,source,OR,skewness,0.9933333333333333,0.0
SRC_OR_REP,WIN-b9eea8e72338bc41f2b0,3.0,source,OR,kurtosis,0.9933333333333333,0.013333333333333308
SRC_OR_REP,WIN-b9eea8e72338bc41f2b0,3.0,source,OR,crest_factor,0.9933333333333333,0.026666666666666616
SRC_OR_REP,WIN-b9eea8e72338bc41f2b0,3.0,source,OR,impulse_factor,0.9933333333333333,0.05666666666666664
SRC_OR_REP,WIN-b9eea8e72338bc41f2b0,3.0,source,OR,shape_factor,0.9933333333333333,0.029999999999999916
SRC_OR_REP,WIN-b9eea8e72338bc41f2b0,3.0,source,OR,clearance_factor,0.9933333333333333,0.08599999999999997
SRC_OR_REP,WIN-b9eea8e72338bc41f2b0,3.0,source,OR,zero_cross_rate,0.9933333333333333,0.0
SRC_OR_REP,WIN-b9eea8e72338bc41f2b0,3.0,source,OR,spectral_centroid_hz,0.9933333333333333,0.0
SRC_OR_REP,WIN-b9eea8e72338bc41f2b0,3.0,source,OR,spectral_rms_hz,0.9933333333333333,0.0
SRC_OR_REP,WIN-b9eea8e72338bc41f2b0,3.0,source,OR,spectral_entropy,0.9933333333333333,0.0
SRC_OR_REP,WIN-b9eea8e72338bc41f2b0,3.0,source,OR,spectral_flatness,0.9933333333333333,0.029999999999999916
SRC_OR_REP,WIN-b9eea8e72338bc41f2b0,3.0,source,OR,dominant_frequency_hz,0.9933333333333333,0.0
SRC_OR_REP,WIN-b9eea8e72338bc41f2b0,3.0,source,OR,rolloff95_hz,0.9933333333333333,0.2433333333333333
SRC_OR_REP,WIN-b9eea8e72338bc41f2b0,3.0,source,OR,band_ratio_0_500,0.9933333333333333,0.09666666666666668
SRC_OR_REP,WIN-b9eea8e72338bc41f2b0,3.0,source,OR,band_ratio_500_1500,0.9933333333333333,0.0033333333333332993
SRC_OR_REP,WIN-b9eea8e72338bc41f2b0,3.0,source,OR,band_ratio_1500_3000,0.9933333333333333,0.010000000000000009
SRC_OR_REP,WIN-b9eea8e72338bc41f2b0,3.0,source,OR,band_ratio_3000_5500,0.9933333333333333,0.019999999999999907
SRC_OR_REP,WIN-b9eea8e72338bc41f2b0,3.0,source,OR,envelope_rms,0.9933333333333333,0.1233333333333333
SRC_OR_REP,WIN-b9eea8e72338bc41f2b0,3.0,source,OR,envelope_kurtosis,0.9933333333333333,0.06944444444444453
SRC_OR_REP,WIN-b9eea8e72338bc41f2b0,3.0,source,OR,envelope_spectral_entropy,0.9933333333333333,0.18999999999999995
SRC_OR_REP,WIN-dfcba3e61544b077929a,3.5,source,OR,mean,1.0,0.0
SRC_OR_REP,WIN-dfcba3e61544b077929a,3.5,source,OR,std,1.0,0.1166666666666667
SRC_OR_REP,WIN-dfcba3e61544b077929a,3.5,source,OR,rms,1.0,0.09999999999999998
SRC_OR_REP,WIN-dfcba3e61544b077929a,3.5,source,OR,mean_abs,1.0,0.020000000000000018
SRC_OR_REP,WIN-dfcba3e61544b077929a,3.5,source,OR,peak_abs,1.0,0.01666666666666672
SRC_OR_REP,WIN-dfcba3e61544b077929a,3.5,source,OR,peak_to_peak,1.0,0.033333333333333326
SRC_OR_REP,WIN-dfcba3e61544b077929a,3.5,source,OR,skewness,1.0,0.0
SRC_OR_REP,WIN-dfcba3e61544b077929a,3.5,source,OR,kurtosis,1.0,0.013333333333333308
SRC_OR_REP,WIN-dfcba3e61544b077929a,3.5,source,OR,crest_factor,1.0,0.026666666666666616
SRC_OR_REP,WIN-dfcba3e61544b077929a,3.5,source,OR,impulse_factor,1.0,0.06333333333333335
SRC_OR_REP,WIN-dfcba3e61544b077929a,3.5,source,OR,shape_factor,1.0,0.030000000000000027
SRC_OR_REP,WIN-dfcba3e61544b077929a,3.5,source,OR,clearance_factor,1.0,0.08933333333333338
SRC_OR_REP,WIN-dfcba3e61544b077929a,3.5,source,OR,zero_cross_rate,1.0,0.0
SRC_OR_REP,WIN-dfcba3e61544b077929a,3.5,source,OR,spectral_centroid_hz,1.0,0.0
SRC_OR_REP,WIN-dfcba3e61544b077929a,3.5,source,OR,spectral_rms_hz,1.0,0.0
SRC_OR_REP,WIN-dfcba3e61544b077929a,3.5,source,OR,spectral_entropy,1.0,0.0
SRC_OR_REP,WIN-dfcba3e61544b077929a,3.5,source,OR,spectral_flatness,1.0,0.030000000000000027
SRC_OR_REP,WIN-dfcba3e61544b077929a,3.5,source,OR,dominant_frequency_hz,1.0,0.0
SRC_OR_REP,WIN-dfcba3e61544b077929a,3.5,source,OR,rolloff95_hz,1.0,0.2466666666666667
SRC_OR_REP,WIN-dfcba3e61544b077929a,3.5,source,OR,band_ratio_0_500,1.0,0.09333333333333338
SRC_OR_REP,WIN-dfcba3e61544b077929a,3.5,source,OR,band_ratio_500_1500,1.0,0.0033333333333332993
SRC_OR_REP,WIN-dfcba3e61544b077929a,3.5,source,OR,band_ratio_1500_3000,1.0,0.00666666666666671
SRC_OR_REP,WIN-dfcba3e61544b077929a,3.5,source,OR,band_ratio_3000_5500,1.0,0.020000000000000018
SRC_OR_REP,WIN-dfcba3e61544b077929a,3.5,source,OR,envelope_rms,1.0,0.1266666666666667
SRC_OR_REP,WIN-dfcba3e61544b077929a,3.5,source,OR,envelope_kurtosis,1.0,0.06611111111111123
SRC_OR_REP,WIN-dfcba3e61544b077929a,3.5,source,OR,envelope_spectral_entropy,1.0,0.19999999999999996
SRC_OR_REP,WIN-a8cfe540110d3943574d,4.0,source,OR,mean,0.9933333333333333,0.0
SRC_OR_REP,WIN-a8cfe540110d3943574d,4.0,source,OR,std,0.9933333333333333,0.11666666666666659
SRC_OR_REP,WIN-a8cfe540110d3943574d,4.0,source,OR,rms,0.9933333333333333,0.10333333333333328
SRC_OR_REP,WIN-a8cfe540110d3943574d,4.0,source,OR,mean_abs,0.9933333333333333,0.033333333333333326
SRC_OR_REP,WIN-a8cfe540110d3943574d,4.0,source,OR,peak_abs,0.9933333333333333,0.016666666666666607
SRC_OR_REP,WIN-a8cfe540110d3943574d,4.0,source,OR,peak_to_peak,0.9933333333333333,0.03600000000000003
SRC_OR_REP,WIN-a8cfe540110d3943574d,4.0,source,OR,skewness,0.9933333333333333,0.0
SRC_OR_REP,WIN-a8cfe540110d3943574d,4.0,source,OR,kurtosis,0.9933333333333333,0.016666666666666607
SRC_OR_REP,WIN-a8cfe540110d3943574d,4.0,source,OR,crest_factor,0.9933333333333333,0.029930191972076692
SRC_OR_REP,WIN-a8cfe540110d3943574d,4.0,source,OR,impulse_factor,0.9933333333333333,0.06333333333333324
SRC_OR_REP,WIN-a8cfe540110d3943574d,4.0,source,OR,shape_factor,0.9933333333333333,0.029999999999999916
SRC_OR_REP,WIN-a8cfe540110d3943574d,4.0,source,OR,clearance_factor,0.9933333333333333,0.08933333333333338
SRC_OR_REP,WIN-a8cfe540110d3943574d,4.0,source,OR,zero_cross_rate,0.9933333333333333,0.0
SRC_OR_REP,WIN-a8cfe540110d3943574d,4.0,source,OR,spectral_centroid_hz,0.9933333333333333,0.0
SRC_OR_REP,WIN-a8cfe540110d3943574d,4.0,source,OR,spectral_rms_hz,0.9933333333333333,0.0
SRC_OR_REP,WIN-a8cfe540110d3943574d,4.0,source,OR,spectral_entropy,0.9933333333333333,0.0
SRC_OR_REP,WIN-a8cfe540110d3943574d,4.0,source,OR,spectral_flatness,0.9933333333333333,0.036666666666666625
SRC_OR_REP,WIN-a8cfe540110d3943574d,4.0,source,OR,dominant_frequency_hz,0.9933333333333333,0.0
SRC_OR_REP,WIN-a8cfe540110d3943574d,4.0,source,OR,rolloff95_hz,0.9933333333333333,0.25
SRC_OR_REP,WIN-a8cfe540110d3943574d,4.0,source,OR,band_ratio_0_500,0.9933333333333333,0.10333333333333328
SRC_OR_REP,WIN-a8cfe540110d3943574d,4.0,source,OR,band_ratio_500_1500,0.9933333333333333,0.0033333333333332993
SRC_OR_REP,WIN-a8cfe540110d3943574d,4.0,source,OR,band_ratio_1500_3000,0.9933333333333333,0.0033333333333332993
SRC_OR_REP,WIN-a8cfe540110d3943574d,4.0,source,OR,band_ratio_3000_5500,0.9933333333333333,0.019999999999999907
SRC_OR_REP,WIN-a8cfe540110d3943574d,4.0,source,OR,envelope_rms,0.9933333333333333,0.13
SRC_OR_REP,WIN-a8cfe540110d3943574d,4.0,source,OR,envelope_kurtosis,0.9933333333333333,0.07856864826610055
SRC_OR_REP,WIN-a8cfe540110d3943574d,4.0,source,OR,envelope_spectral_entropy,0.9933333333333333,0.20999999999999996
SRC_OR_REP,WIN-c58af995928a333482a0,4.5,source,OR,mean,1.0,0.0
SRC_OR_REP,WIN-c58af995928a333482a0,4.5,source,OR,std,1.0,0.11333333333333329
SRC_OR_REP,WIN-c58af995928a333482a0,4.5,source,OR,rms,1.0,0.09999999999999998
SRC_OR_REP,WIN-c58af995928a333482a0,4.5,source,OR,mean_abs,1.0,0.020000000000000018
SRC_OR_REP,WIN-c58af995928a333482a0,4.5,source,OR,peak_abs,1.0,0.01666666666666672
SRC_OR_REP,WIN-c58af995928a333482a0,4.5,source,OR,peak_to_peak,1.0,0.030000000000000027
